parent,vars,id,creation_time,psynet_version,deployment_id,deposited,inherited,inherited_from,module_id,local_key,key_within_module,key_within_experiment,export_path,is_global,module_state_id,participant_id,trial_id,node_id,network_id,description,personal,content_id,host_path,url,is_folder,data_type,extension,storage,node_definition,type,input_path,obfuscate,md5_contents,size_mb,deposit_time_sec,used_cache,class,object_type,file_system_path
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 1}}","{""file_system_path"": ""/psynet-data/assets/cached/label_practice/nodes/node_1__prompt/8f99eafaf76d17d22c9e405c5e2da747.mp4""}",1,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_practice,prompt,nodes/node_1__prompt,label_practice/nodes/node_1__prompt,label_practice/nodes/node_1__prompt.mp4,,,,,1,1,,False,8f99eafaf76d17d22c9e405c5e2da747,cached/label_practice/nodes/node_1__prompt/8f99eafaf76d17d22c9e405c5e2da747.mp4,/static/assets/cached/label_practice/nodes/node_1__prompt/8f99eafaf76d17d22c9e405c5e2da747.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-34_0-35.mp4""}",CachedAsset,input/practice/default/default-block/0-34_0-35.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_practice/nodes/node_1__prompt/8f99eafaf76d17d22c9e405c5e2da747.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 2}}","{""file_system_path"": ""/psynet-data/assets/cached/label_practice/nodes/node_2__prompt/c02a0ed7b0d214c6c8c097796afdffd8.mp4""}",2,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_practice,prompt,nodes/node_2__prompt,label_practice/nodes/node_2__prompt,label_practice/nodes/node_2__prompt.mp4,,,,,2,2,,False,c02a0ed7b0d214c6c8c097796afdffd8,cached/label_practice/nodes/node_2__prompt/c02a0ed7b0d214c6c8c097796afdffd8.mp4,/static/assets/cached/label_practice/nodes/node_2__prompt/c02a0ed7b0d214c6c8c097796afdffd8.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-7_0-23.mp4""}",CachedAsset,input/practice/default/default-block/0-7_0-23.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_practice/nodes/node_2__prompt/c02a0ed7b0d214c6c8c097796afdffd8.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 3}}","{""file_system_path"": ""/psynet-data/assets/cached/label_practice/nodes/node_3__prompt/f4da002f76293e3d85285287d5bee216.mp4""}",3,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_practice,prompt,nodes/node_3__prompt,label_practice/nodes/node_3__prompt,label_practice/nodes/node_3__prompt.mp4,,,,,3,3,,False,f4da002f76293e3d85285287d5bee216,cached/label_practice/nodes/node_3__prompt/f4da002f76293e3d85285287d5bee216.mp4,/static/assets/cached/label_practice/nodes/node_3__prompt/f4da002f76293e3d85285287d5bee216.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-18_0-19.mp4""}",CachedAsset,input/practice/default/default-block/0-18_0-19.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_practice/nodes/node_3__prompt/f4da002f76293e3d85285287d5bee216.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 4}}","{""file_system_path"": ""/psynet-data/assets/cached/label_practice/nodes/node_4__prompt/e0aaa87849fffe0eb8550c5d862864fc.mp4""}",4,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_practice,prompt,nodes/node_4__prompt,label_practice/nodes/node_4__prompt,label_practice/nodes/node_4__prompt.mp4,,,,,4,4,,False,e0aaa87849fffe0eb8550c5d862864fc,cached/label_practice/nodes/node_4__prompt/e0aaa87849fffe0eb8550c5d862864fc.mp4,/static/assets/cached/label_practice/nodes/node_4__prompt/e0aaa87849fffe0eb8550c5d862864fc.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-0_0-1.mp4""}",CachedAsset,input/practice/default/default-block/0-0_0-1.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_practice/nodes/node_4__prompt/e0aaa87849fffe0eb8550c5d862864fc.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 5}}","{""file_system_path"": ""/psynet-data/assets/cached/label_practice/nodes/node_5__prompt/ba99828ceda31916fbf2024f55f78396.mp4""}",5,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_practice,prompt,nodes/node_5__prompt,label_practice/nodes/node_5__prompt,label_practice/nodes/node_5__prompt.mp4,,,,,5,5,,False,ba99828ceda31916fbf2024f55f78396,cached/label_practice/nodes/node_5__prompt/ba99828ceda31916fbf2024f55f78396.mp4,/static/assets/cached/label_practice/nodes/node_5__prompt/ba99828ceda31916fbf2024f55f78396.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-1_0-35.mp4""}",CachedAsset,input/practice/default/default-block/0-1_0-35.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_practice/nodes/node_5__prompt/ba99828ceda31916fbf2024f55f78396.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 6}}","{""file_system_path"": ""/psynet-data/assets/cached/label_practice/nodes/node_6__prompt/9590c7729b0de3911b03a4e3e232f8e0.mp4""}",6,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_practice,prompt,nodes/node_6__prompt,label_practice/nodes/node_6__prompt,label_practice/nodes/node_6__prompt.mp4,,,,,6,6,,False,9590c7729b0de3911b03a4e3e232f8e0,cached/label_practice/nodes/node_6__prompt/9590c7729b0de3911b03a4e3e232f8e0.mp4,/static/assets/cached/label_practice/nodes/node_6__prompt/9590c7729b0de3911b03a4e3e232f8e0.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-0_0-34.mp4""}",CachedAsset,input/practice/default/default-block/0-0_0-34.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_practice/nodes/node_6__prompt/9590c7729b0de3911b03a4e3e232f8e0.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 7}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_7__prompt/b056577f2735657f59a0c15567b393d8.mp4""}",7,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_7__prompt,label_experiment/nodes/node_7__prompt,label_experiment/nodes/node_7__prompt.mp4,,,,,7,7,,False,b056577f2735657f59a0c15567b393d8,cached/label_experiment/nodes/node_7__prompt/b056577f2735657f59a0c15567b393d8.mp4,/static/assets/cached/label_experiment/nodes/node_7__prompt/b056577f2735657f59a0c15567b393d8.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-2_0-24.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-2_0-24.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_7__prompt/b056577f2735657f59a0c15567b393d8.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 8}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_8__prompt/e37dc6bbb6d8185d447d3d5de0e9b682.mp4""}",8,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_8__prompt,label_experiment/nodes/node_8__prompt,label_experiment/nodes/node_8__prompt.mp4,,,,,8,8,,False,e37dc6bbb6d8185d447d3d5de0e9b682,cached/label_experiment/nodes/node_8__prompt/e37dc6bbb6d8185d447d3d5de0e9b682.mp4,/static/assets/cached/label_experiment/nodes/node_8__prompt/e37dc6bbb6d8185d447d3d5de0e9b682.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-5_0-31.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-5_0-31.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_8__prompt/e37dc6bbb6d8185d447d3d5de0e9b682.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 9}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_9__prompt/6e7855897acfad17a0737eb1b8031e10.mp4""}",9,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_9__prompt,label_experiment/nodes/node_9__prompt,label_experiment/nodes/node_9__prompt.mp4,,,,,9,9,,False,6e7855897acfad17a0737eb1b8031e10,cached/label_experiment/nodes/node_9__prompt/6e7855897acfad17a0737eb1b8031e10.mp4,/static/assets/cached/label_experiment/nodes/node_9__prompt/6e7855897acfad17a0737eb1b8031e10.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-3_0-31.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-3_0-31.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_9__prompt/6e7855897acfad17a0737eb1b8031e10.mp4
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 10}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_10__prompt/e28f5cd988f55060a34479065e22396b.mp4""}",10,2026-03-09 18:02:10,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-03-09--18-02-10,True,False,,label_experiment,prompt,nodes/node_10__prompt,label_experiment/nodes/node_10__prompt,label_experiment/nodes/node_10__prompt.mp4,,,,,10,10,,False,e28f5cd988f55060a34479065e22396b,cached/label_experiment/nodes/node_10__prompt/e28f5cd988f55060a34479065e22396b.mp4,/static/assets/cached/label_experiment/nodes/node_10__prompt/e28f5cd988f55060a34479065e22396b.mp4,False,,.mp4,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-13_0-27.mp4""}",CachedAsset,input/experiment/participant-group-1/block-a/0-13_0-27.mp4,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_10__prompt/e28f5cd988f55060a34479065e22396b.mp4
