_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,name
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 5}}}",{},1,2026-03-10 01:14:59,False,,,CustomTrial,5,5,,True,5,1,2,label_practice,"{""name"": ""0-1_0-35.mp4""}",True,False,,0.0,,(1) Extremely Dissimilar,True,4.0,,,4.772,63.5,73.5,10.0,0.12330097087378641,0.14271844660194175,False,False,False,False,0,default-block,CustomTrial,Info,0-1_0-35.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 2}}}",{},2,2026-03-10 01:15:05,False,,,CustomTrial,2,2,,True,2,1,2,label_practice,"{""name"": ""0-7_0-23.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,5.0,,,2.663,73.5,83.5,10.0,0.14271844660194175,0.16213592233009708,False,False,False,False,0,default-block,CustomTrial,Info,0-7_0-23.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 1}}}",{},3,2026-03-10 01:15:08,False,,,CustomTrial,1,1,,True,1,1,2,label_practice,"{""name"": ""0-34_0-35.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,6.0,,,2.021,83.5,93.5,10.0,0.16213592233009708,0.1815533980582524,False,False,False,False,0,default-block,CustomTrial,Info,0-34_0-35.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 4}}}",{},4,2026-03-10 01:15:11,False,,,CustomTrial,4,4,,True,4,1,2,label_practice,"{""name"": ""0-0_0-1.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,7.0,,,1.824,93.5,103.5,10.0,0.1815533980582524,0.20097087378640774,False,False,False,False,0,default-block,CustomTrial,Info,0-0_0-1.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 6}}}",{},5,2026-03-10 01:15:13,False,,,CustomTrial,6,6,,True,6,1,2,label_practice,"{""name"": ""0-0_0-34.mp4""}",True,False,,0.0,,(2) Very Dissimilar,True,8.0,,,2.237,103.5,113.5,10.0,0.20097087378640774,0.22038834951456307,False,False,False,False,0,default-block,CustomTrial,Info,0-0_0-34.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 3}}}",{},6,2026-03-10 01:15:16,False,,,CustomTrial,3,3,,True,3,1,2,label_practice,"{""name"": ""0-18_0-19.mp4""}",True,False,,0.0,,(5) Very Similar,True,9.0,,,2.439,113.5,123.5,10.0,0.22038834951456307,0.2398058252427184,False,False,False,False,0,default-block,CustomTrial,Info,0-18_0-19.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 235}}}",{},7,2026-03-10 01:15:23,False,,,CustomTrial,235,235,,True,235,1,3,label_experiment,"{""name"": ""0-29_0-34.mp4""}",True,False,,0.0,,(6) Extremely Similar,True,11.0,,,2.615,130.0,140.0,10.0,0.2524271844660194,0.27184466019417475,False,False,False,False,0,block-a,CustomTrial,Info,0-29_0-34.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 629}}}",{},8,2026-03-10 01:15:26,False,,,CustomTrial,629,629,,True,629,1,3,label_experiment,"{""name"": ""0-15_0-32.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,12.0,,,2.674,140.0,150.0,10.0,0.27184466019417475,0.2912621359223301,False,False,False,False,0,block-a,CustomTrial,Info,0-15_0-32.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 333}}}",{},9,2026-03-10 01:15:30,False,,,CustomTrial,333,333,,True,333,1,3,label_experiment,"{""name"": ""0-11_0-34.mp4""}",True,False,,0.0,,(1) Extremely Dissimilar,True,13.0,,,4.079,150.0,160.0,10.0,0.2912621359223301,0.3106796116504854,False,False,False,False,0,block-a,CustomTrial,Info,0-11_0-34.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 239}}}",{},10,2026-03-10 01:15:34,False,,,CustomTrial,239,239,,True,239,1,3,label_experiment,"{""name"": ""0-19_0-27.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,14.0,,,3.276,160.0,170.0,10.0,0.3106796116504854,0.33009708737864074,False,False,False,False,0,block-a,CustomTrial,Info,0-19_0-27.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 572}}}",{},11,2026-03-10 01:15:39,False,,,CustomTrial,572,572,,True,572,1,3,label_experiment,"{""name"": ""0-8_0-33.mp4""}",True,False,,0.0,,(1) Extremely Dissimilar,True,15.0,,,2.192,170.0,180.0,10.0,0.33009708737864074,0.3495145631067961,False,False,False,False,0,block-a,CustomTrial,Info,0-8_0-33.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 487}}}",{},12,2026-03-10 01:15:42,False,,,CustomTrial,487,487,,True,487,1,3,label_experiment,"{""name"": ""0-12_0-18.mp4""}",True,False,,0.0,,(4) Somewhat Similar,True,16.0,,,4.545,180.0,190.0,10.0,0.3495145631067961,0.3689320388349514,False,False,False,False,0,block-a,CustomTrial,Info,0-12_0-18.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 328}}}",{},13,2026-03-10 01:15:47,False,,,CustomTrial,328,328,,True,328,1,3,label_experiment,"{""name"": ""0-11_0-22.mp4""}",True,False,,0.0,,(3) Somewhat Dissimilar,True,17.0,,,2.491,190.0,200.0,10.0,0.3689320388349514,0.38834951456310673,False,False,False,False,0,block-a,CustomTrial,Info,0-11_0-22.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 352}}}",{},14,2026-03-10 01:15:50,False,,,CustomTrial,352,352,,True,352,1,3,label_experiment,"{""name"": ""0-10_0-29.mp4""}",True,False,,0.0,,(2) Very Dissimilar,True,18.0,,,2.623,200.0,210.0,10.0,0.38834951456310673,0.40776699029126207,False,False,False,False,0,block-a,CustomTrial,Info,0-10_0-29.mp4
"{""prompt"": {""py/object"": ""psynet.asset.CachedAsset"", ""identifiers"": {""id"": 395}}}",{},15,2026-03-10 01:15:54,False,,,CustomTrial,395,395,,True,395,1,3,label_experiment,"{""name"": ""0-2_0-27.mp4""}",True,False,,0.0,,(1) Extremely Dissimilar,True,19.0,,,2.24,210.0,220.0,10.0,0.40776699029126207,0.4271844660194174,False,False,False,False,0,block-a,CustomTrial,Info,0-2_0-27.mp4
