vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-03-10 01:14:59,False,,,2,label_practice,1,2026-03-10 01:14:59,2026-03-10 01:15:20,,True,True,False,ChainTrialMakerState,default,False,,,,6,6,True,"[""default-block""]",0,default-block,"[5, 2, 1, 4, 6, 3]",6,6,ChainTrialMakerState,ModuleState
{},2026-03-10 01:15:23,False,,,3,label_experiment,1,2026-03-10 01:15:23,2026-03-10 01:17:43,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[235, 629, 333, 239, 572, 487, 328, 352, 395, 126, 612, 216, 454, 579, 221, 185, 413, 600, 68, 243, 10, 42, 17, 49, 282, 512, 292, 48, 444, 104, 436, 406, 276, 426, 259, 268]",36,36,ChainTrialMakerState,ModuleState
{},2026-03-10 01:45:00,False,,,6,label_practice,2,2026-03-10 01:45:00,2026-03-10 01:45:42,,True,True,False,ChainTrialMakerState,default,False,,,,6,6,True,"[""default-block""]",0,default-block,"[3, 6, 1, 2, 4, 5]",6,6,ChainTrialMakerState,ModuleState
{},2026-03-10 01:45:48,False,,,7,label_experiment,2,2026-03-10 01:45:48,2026-03-10 01:50:36,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[317, 190, 551, 96, 67, 19, 80, 341, 611, 148, 547, 634, 458, 297, 38, 150, 539, 361, 568, 374, 583, 542, 228, 468, 286, 211, 305, 254, 285, 94, 171, 303, 131, 107, 518, 624]",36,36,ChainTrialMakerState,ModuleState
{},2026-03-10 01:51:35,False,,,10,label_practice,3,2026-03-10 01:51:35,2026-03-10 01:52:24,,True,True,False,ChainTrialMakerState,default,False,,,,6,6,True,"[""default-block""]",0,default-block,"[2, 4, 3, 6, 5, 1]",6,6,ChainTrialMakerState,ModuleState
{},2026-03-10 01:52:27,False,,,11,label_experiment,3,2026-03-10 01:52:27,2026-03-10 01:56:27,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[520, 630, 46, 441, 188, 197, 480, 370, 479, 610, 28, 538, 202, 321, 443, 342, 71, 8, 557, 577, 394, 606, 528, 489, 523, 204, 419, 103, 378, 65, 588, 262, 267, 31, 50, 558]",36,36,ChainTrialMakerState,ModuleState
{},2026-03-10 01:57:51,False,,,14,label_practice,4,2026-03-10 01:57:51,2026-03-10 01:58:33,,True,True,False,ChainTrialMakerState,default,False,,,,6,6,True,"[""default-block""]",0,default-block,"[6, 2, 1, 4, 3, 5]",6,6,ChainTrialMakerState,ModuleState
{},2026-03-10 01:58:54,False,,,15,label_experiment,4,2026-03-10 01:58:54,2026-03-10 02:05:39,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[474, 240, 210, 532, 255, 88, 117, 503, 105, 244, 586, 380, 491, 515, 356, 76, 324, 375, 407, 461, 589, 488, 112, 281, 277, 541, 166, 573, 364, 309, 304, 453, 224, 51, 198, 163]",36,36,ChainTrialMakerState,ModuleState
{},2026-03-10 02:45:06,False,,,18,label_practice,5,2026-03-10 02:45:06,2026-03-10 02:45:26,,True,True,False,ChainTrialMakerState,default,False,,,,6,6,True,"[""default-block""]",0,default-block,"[2, 1, 6, 3, 5, 4]",6,6,ChainTrialMakerState,ModuleState
{},2026-03-10 02:45:28,False,,,19,label_experiment,5,2026-03-10 02:45:28,2026-03-10 02:48:12,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[524, 466, 13, 500, 597, 156, 435, 469, 192, 575, 183, 514, 83, 475, 59, 405, 273, 222, 564, 299, 567, 429, 180, 509, 212, 330, 316, 217, 207, 549, 339, 253, 284, 283, 300, 122]",36,36,ChainTrialMakerState,ModuleState
