vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,class,object_type
{},2026-03-10 01:14:46,False,,,1,mit_consent,1,2026-03-10 01:14:46,2026-03-10 01:14:49,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 01:17:53,False,,,4,feedback,1,2026-03-10 01:17:53,2026-03-10 01:18:04,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 01:44:31,False,,,5,mit_consent,2,2026-03-10 01:44:31,2026-03-10 01:44:35,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 01:50:26,False,,,8,mit_consent,3,2026-03-10 01:50:26,2026-03-10 01:50:31,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 01:50:53,False,,,9,feedback,2,2026-03-10 01:50:53,2026-03-10 01:51:17,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 01:56:35,False,,,12,feedback,3,2026-03-10 01:56:35,2026-03-10 01:56:54,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 01:56:41,False,,,13,mit_consent,4,2026-03-10 01:56:41,2026-03-10 01:56:50,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 02:09:36,False,,,16,feedback,4,2026-03-10 02:09:36,2026-03-10 02:10:19,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 02:44:51,False,,,17,mit_consent,5,2026-03-10 02:44:51,2026-03-10 02:44:54,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 02:48:23,False,,,20,feedback,5,2026-03-10 02:48:23,2026-03-10 02:48:36,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 17:13:04,False,,,21,mit_consent,6,2026-03-10 17:13:04,2026-03-10 17:13:39,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 17:23:13,False,,,24,mit_consent,7,2026-03-10 17:23:13,2026-03-10 17:23:42,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 17:23:26,False,,,25,feedback,6,2026-03-10 17:23:26,2026-03-10 17:23:55,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 17:31:33,False,,,28,feedback,7,2026-03-10 17:31:33,2026-03-10 17:31:47,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 18:00:22,False,,,29,mit_consent,8,2026-03-10 18:00:22,2026-03-10 18:00:37,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 18:05:03,False,,,32,feedback,8,2026-03-10 18:05:03,2026-03-10 18:05:34,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 18:10:40,False,,,33,mit_consent,9,2026-03-10 18:10:40,2026-03-10 18:10:52,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-03-10 18:11:42,False,,,35,mit_consent,10,2026-03-10 18:11:42,2026-03-10 18:11:48,,True,True,False,ModuleState,ModuleState,ModuleState
