vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,page_count,aborted,complete,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,client_ip_address,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id,mit_consent,sex,languages_in_order_of_proficiency,liked_experiment,find_experiment_difficult,encountered_technical_problems
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T01:17:43.456635"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T01:14:59.442031"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T01:15:23.233598"", ""sex"": ""male"", ""languages_in_order_of_proficiency"": ""Thomas test"", ""liked_experiment"": ""Yes!"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No""}",1,2026-03-10 01:14:46,False,,,Participant,75d9ba01c6b7046cdc107812734d7119,prolific,5c6eec2e673d7600016e5325,0bybohdyinac,5c6eec2e673d7600016e5325:0bybohdyinac,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 01:18:07,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",a899c231-911b-dce2-1ed8-c2ae2838b3f8,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,135.180.25.175,True,Chrome 139.0.0.0 on Linux 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,male,Thomas test,Yes!,No,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T01:50:36.630119"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T01:45:00.069444"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T01:45:48.967061"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""It was interesting."", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No""}",2,2026-03-10 01:44:31,False,,,Participant,44eb96bc0afbfbe039e01625ece7de0b,prolific,65fb580ab7fbb2d518ee8eaa,69af77625da6cdced8829951,65fb580ab7fbb2d518ee8eaa:69af77625da6cdced8829951,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 01:51:20,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",086cfa5b-9dfa-bc5a-7413-3eb3eaf851b0,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,98.186.203.91,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,female,English,It was interesting.,No,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T01:56:27.666924"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T01:51:35.355246"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T01:52:27.402500"", ""sex"": ""male"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""A little"", ""find_experiment_difficult"": ""Yes.  "", ""encountered_technical_problems"": ""No""}",3,2026-03-10 01:50:26,False,,,Participant,30c97015594acea91473db44884c5de5,prolific,661e47e87d86f5629af43921,69af773f88ee75c8eabcd806,661e47e87d86f5629af43921:69af773f88ee75c8eabcd806,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 01:56:56,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",8e1a59dc-7b0b-338d-c0f4-ac5b75659dba,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,69.246.23.13,True,Chrome 145.0.0.0 on OS X 10.15.7 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,male,English,A little,Yes.  ,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T02:05:39.432014"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T01:57:51.527575"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T01:58:54.872869"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""yes"", ""find_experiment_difficult"": ""kind of"", ""encountered_technical_problems"": ""no""}",4,2026-03-10 01:56:41,False,,,Participant,864be5d87bcf3b60655a46f9f90793da,prolific,6998229d6cf30ea09a08069b,69af7a3d0feb14f112d4fed2,6998229d6cf30ea09a08069b:69af7a3d0feb14f112d4fed2,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 02:10:22,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",f162b33b-9b84-e58f-6137-70327bb77913,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,174.62.144.36,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,female,English,yes,kind of,no
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T02:48:12.131895"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T02:45:06.909024"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T02:45:29.059557"", ""sex"": ""male"", ""languages_in_order_of_proficiency"": ""English, Spanish"", ""liked_experiment"": ""Yes"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No""}",5,2026-03-10 02:44:51,False,,,Participant,3c8f340b8f5a8c68cef7e85bdded971f,prolific,6608fe79836be5ccd7136892,69af8577c925e6f2022fb677,6608fe79836be5ccd7136892:69af8577c925e6f2022fb677,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 02:48:38,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",1c0e128c-41c3-941e-eda4-d7360f27086e,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,107.3.222.134,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,male,"English, Spanish",Yes,No,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T17:23:09.067483"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T17:14:20.352986"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T17:15:28.298365"", ""sex"": ""male"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""Yes!"", ""find_experiment_difficult"": ""A little"", ""encountered_technical_problems"": ""no""}",6,2026-03-10 17:13:04,False,,,Participant,14bfe1d2169775d99fba5baaecf8a71c,prolific,60f32446bc4e09f52b37a56d,69b050ea002f8eb7dca0f7d3,60f32446bc4e09f52b37a56d:69b050ea002f8eb7dca0f7d3,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 17:23:59,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",d7d6f87c-1e15-1352-eca6-ac2adc489df6,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,72.199.188.134,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,male,English,Yes!,A little,no
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T17:31:09.057187"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T17:24:23.028944"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T17:25:21.134713"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""Yes"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No""}",7,2026-03-10 17:23:12,False,,,Participant,f82f3964e14dd1f470c199eb4f9f23b3,prolific,66f9a40196d53f05f2232cff,69b05316d4999f65a486f128,66f9a40196d53f05f2232cff:69b05316d4999f65a486f128,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 17:31:51,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",20db2f0b-79c6-dfb3-60a5-47297c51298d,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,71.206.236.179,True,Chrome 126.0.0.0 on Chrome OS 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,female,English,Yes,No,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T18:04:48.507403"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T18:01:05.036558"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T18:01:41.939372"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""I did"", ""find_experiment_difficult"": ""It was harder than I thought but still very fun"", ""encountered_technical_problems"": ""None""}",8,2026-03-10 18:00:22,False,,,Participant,6ac9c508d89f71254ee1eca6b88276d4,prolific,6318be45a49442eee3a88cb3,69b05c272477b758853b2ddc,6318be45a49442eee3a88cb3:69b05c272477b758853b2ddc,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 18:05:37,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",c640e562-9dd2-2fb4-375e-dd9af2a52cb9,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,76.158.217.206,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,female,English,I did,It was harder than I thought but still very fun,None
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T18:15:18.345200"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T18:11:23.828657"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T18:11:56.692366"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""Yes"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No""}",9,2026-03-10 18:10:40,False,,,Participant,66b497641f1bc839245691d9ffdb6a40,prolific,662a9424413abe279fda0f42,69b05e8f5b51ab6a05cae7d3,662a9424413abe279fda0f42:69b05e8f5b51ab6a05cae7d3,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 18:15:49,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",32954840-822c-872d-ce0c-cc4f0ee283ba,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,71.238.54.162,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,female,English,Yes,No,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-03-10T18:16:32.681619"", ""__label_practice__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T18:12:13.492985"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-03-10T18:12:59.106673"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""The experiment was interesting and engaging."", ""find_experiment_difficult"": ""The was no problems with the experiment"", ""encountered_technical_problems"": ""None""}",10,2026-03-10 18:11:42,False,,,Participant,acaf3c3784fb441fff3bf7ac99c57803,prolific,66e0585aeee549c122da5983,69b05ec88602bb49f567d10e,66e0585aeee549c122da5983:69b05ec88602bb49f567d10e,69af6eadc1dcf8f1a404ad6d,live,2026-03-10 18:18:07,2.5,,"{""recruiter"": ""prolific""}",approved,"[344, 4, 1]","[348, 5, 2]",515.0,515.0,1.0,[],"[1.0, 1.0]",02816435-b3f3-6eee-7d10-a98baacf6413,53,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false], [""init_participant"", false]]",{},[],2.5,0.0,0.0,0.0,72.179.7.163,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_practice"", ""label_experiment"", ""feedback""]",,True,female,English,The experiment was interesting and engaging.,The was no problems with the experiment,None
