vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},1,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,215,0,1,0,label_practice,label_practice,1000000,default,,,,False,False,False,False,,215,215,0,215,1,across,1,1000000,{},,default-block,StaticNetwork,Network
{},2,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,214,1,1,0,label_practice,label_practice,1000000,default,,,,False,False,False,False,,215,214,1,214,1,across,2,1000000,{},,default-block,StaticNetwork,Network
{},3,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,214,1,1,0,label_practice,label_practice,1000000,default,,,,False,False,False,False,,215,214,1,214,1,across,3,1000000,{},,default-block,StaticNetwork,Network
{},4,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,214,0,1,0,label_practice,label_practice,1000000,default,,,,False,False,False,False,,214,214,0,214,1,across,4,1000000,{},,default-block,StaticNetwork,Network
{},5,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,214,0,1,0,label_practice,label_practice,1000000,default,,,,False,False,False,False,,214,214,0,214,1,across,5,1000000,{},,default-block,StaticNetwork,Network
{},6,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,214,1,1,0,label_practice,label_practice,1000000,default,,,,False,False,False,False,,215,214,1,214,1,across,6,1000000,{},,default-block,StaticNetwork,Network
{},7,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,7,1000000,{},,block-a,StaticNetwork,Network
{},8,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,8,1000000,{},,block-a,StaticNetwork,Network
{},9,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,9,1000000,{},,block-a,StaticNetwork,Network
{},10,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,10,1000000,{},,block-a,StaticNetwork,Network
{},11,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,11,1000000,{},,block-a,StaticNetwork,Network
{},12,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,12,1000000,{},,block-a,StaticNetwork,Network
{},13,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,13,1000000,{},,block-a,StaticNetwork,Network
{},14,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,14,1000000,{},,block-a,StaticNetwork,Network
{},15,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,15,1000000,{},,block-a,StaticNetwork,Network
{},16,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,16,1000000,{},,block-a,StaticNetwork,Network
{},17,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,17,1000000,{},,block-a,StaticNetwork,Network
{},18,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,18,1000000,{},,block-a,StaticNetwork,Network
{},19,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,19,1000000,{},,block-a,StaticNetwork,Network
{},20,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,20,1000000,{},,block-a,StaticNetwork,Network
{},21,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,21,1000000,{},,block-a,StaticNetwork,Network
{},22,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,22,1000000,{},,block-a,StaticNetwork,Network
{},23,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,23,1000000,{},,block-a,StaticNetwork,Network
{},24,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,24,1000000,{},,block-a,StaticNetwork,Network
{},25,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,25,1000000,{},,block-a,StaticNetwork,Network
{},26,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,26,1000000,{},,block-a,StaticNetwork,Network
{},27,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,27,1000000,{},,block-a,StaticNetwork,Network
{},28,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,28,1000000,{},,block-a,StaticNetwork,Network
{},29,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,29,1000000,{},,block-a,StaticNetwork,Network
{},30,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,30,1000000,{},,block-a,StaticNetwork,Network
{},31,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,31,1000000,{},,block-a,StaticNetwork,Network
{},32,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,32,1000000,{},,block-a,StaticNetwork,Network
{},33,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,33,1000000,{},,block-a,StaticNetwork,Network
{},34,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,34,1000000,{},,block-a,StaticNetwork,Network
{},35,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,35,1000000,{},,block-a,StaticNetwork,Network
{},36,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,36,1000000,{},,block-a,StaticNetwork,Network
{},37,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,37,1000000,{},,block-a,StaticNetwork,Network
{},38,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,38,1000000,{},,block-a,StaticNetwork,Network
{},39,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,39,1000000,{},,block-a,StaticNetwork,Network
{},40,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,40,1000000,{},,block-a,StaticNetwork,Network
{},41,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,41,1000000,{},,block-a,StaticNetwork,Network
{},42,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,42,1000000,{},,block-a,StaticNetwork,Network
{},43,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,43,1000000,{},,block-a,StaticNetwork,Network
{},44,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,44,1000000,{},,block-a,StaticNetwork,Network
{},45,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,45,1000000,{},,block-a,StaticNetwork,Network
{},46,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,46,1000000,{},,block-a,StaticNetwork,Network
{},47,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,47,1000000,{},,block-a,StaticNetwork,Network
{},48,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,48,1000000,{},,block-a,StaticNetwork,Network
