vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},1,2026-03-09 18:02:10,False,,,TrialSource,1,,label_practice,label_practice,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-34_0-35.mp4""}",,default,default-block,False,215,StaticNode,Node
{},2,2026-03-09 18:02:10,False,,,TrialSource,2,,label_practice,label_practice,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-7_0-23.mp4""}",,default,default-block,False,214,StaticNode,Node
{},3,2026-03-09 18:02:10,False,,,TrialSource,3,,label_practice,label_practice,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-18_0-19.mp4""}",,default,default-block,False,214,StaticNode,Node
{},4,2026-03-09 18:02:10,False,,,TrialSource,4,,label_practice,label_practice,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-0_0-1.mp4""}",,default,default-block,False,214,StaticNode,Node
{},5,2026-03-09 18:02:10,False,,,TrialSource,5,,label_practice,label_practice,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-1_0-35.mp4""}",,default,default-block,False,214,StaticNode,Node
{},6,2026-03-09 18:02:10,False,,,TrialSource,6,,label_practice,label_practice,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-0_0-34.mp4""}",,default,default-block,False,214,StaticNode,Node
{},7,2026-03-09 18:02:10,False,,,TrialSource,7,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-2_0-24.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},8,2026-03-09 18:02:10,False,,,TrialSource,8,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-5_0-31.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},9,2026-03-09 18:02:10,False,,,TrialSource,9,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-3_0-31.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},10,2026-03-09 18:02:10,False,,,TrialSource,10,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-13_0-27.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},11,2026-03-09 18:02:10,False,,,TrialSource,11,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-7_0-13.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},12,2026-03-09 18:02:10,False,,,TrialSource,12,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-26_0-32.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},13,2026-03-09 18:02:10,False,,,TrialSource,13,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-17_0-35.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},14,2026-03-09 18:02:10,False,,,TrialSource,14,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-25_0-27.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},15,2026-03-09 18:02:10,False,,,TrialSource,15,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-6_0-11.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},16,2026-03-09 18:02:10,False,,,TrialSource,16,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-7_0-16.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},17,2026-03-09 18:02:10,False,,,TrialSource,17,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-25_0-34.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},18,2026-03-09 18:02:10,False,,,TrialSource,18,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-19_0-35.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},19,2026-03-09 18:02:10,False,,,TrialSource,19,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-4_0-30.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},20,2026-03-09 18:02:10,False,,,TrialSource,20,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-15_0-22.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},21,2026-03-09 18:02:10,False,,,TrialSource,21,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-12_0-16.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},22,2026-03-09 18:02:10,False,,,TrialSource,22,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-20_0-24.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},23,2026-03-09 18:02:10,False,,,TrialSource,23,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-20_0-27.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},24,2026-03-09 18:02:10,False,,,TrialSource,24,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-13_0-18.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},25,2026-03-09 18:02:10,False,,,TrialSource,25,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-32_0-34.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},26,2026-03-09 18:02:10,False,,,TrialSource,26,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-0_0-9.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},27,2026-03-09 18:02:10,False,,,TrialSource,27,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-1_0-29.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},28,2026-03-09 18:02:10,False,,,TrialSource,28,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-16_0-28.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},29,2026-03-09 18:02:10,False,,,TrialSource,29,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-18_0-21.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},30,2026-03-09 18:02:10,False,,,TrialSource,30,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-14_0-23.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},31,2026-03-09 18:02:10,False,,,TrialSource,31,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-6_0-16.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},32,2026-03-09 18:02:10,False,,,TrialSource,32,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-15_0-28.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},33,2026-03-09 18:02:10,False,,,TrialSource,33,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-15_0-34.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},34,2026-03-09 18:02:10,False,,,TrialSource,34,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-13_0-29.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},35,2026-03-09 18:02:10,False,,,TrialSource,35,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-3_0-32.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},36,2026-03-09 18:02:10,False,,,TrialSource,36,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-19_0-22.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},37,2026-03-09 18:02:10,False,,,TrialSource,37,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-1_0-20.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},38,2026-03-09 18:02:10,False,,,TrialSource,38,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-0_0-13.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},39,2026-03-09 18:02:10,False,,,TrialSource,39,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-17_0-28.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},40,2026-03-09 18:02:10,False,,,TrialSource,40,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-29_0-31.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},41,2026-03-09 18:02:10,False,,,TrialSource,41,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-16_0-20.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},42,2026-03-09 18:02:10,False,,,TrialSource,42,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-16_0-25.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},43,2026-03-09 18:02:10,False,,,TrialSource,43,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-14_0-33.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},44,2026-03-09 18:02:10,False,,,TrialSource,44,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-2_0-13.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},45,2026-03-09 18:02:10,False,,,TrialSource,45,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-4_0-19.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},46,2026-03-09 18:02:10,False,,,TrialSource,46,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-8_0-30.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},47,2026-03-09 18:02:10,False,,,TrialSource,47,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-3_0-15.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},48,2026-03-09 18:02:10,False,,,TrialSource,48,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-4_0-31.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},49,2026-03-09 18:02:10,False,,,TrialSource,49,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-3_0-29.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},50,2026-03-09 18:02:10,False,,,TrialSource,50,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-7_0-19.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},51,2026-03-09 18:02:10,False,,,TrialSource,51,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-5_0-24.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},52,2026-03-09 18:02:10,False,,,TrialSource,52,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-7_0-31.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},53,2026-03-09 18:02:10,False,,,TrialSource,53,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-18_0-34.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},54,2026-03-09 18:02:10,False,,,TrialSource,54,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-8_0-17.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},55,2026-03-09 18:02:10,False,,,TrialSource,55,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-2_0-31.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},56,2026-03-09 18:02:10,False,,,TrialSource,56,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-14_0-34.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},57,2026-03-09 18:02:10,False,,,TrialSource,57,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-23_0-30.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},58,2026-03-09 18:02:10,False,,,TrialSource,58,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-10_0-23.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},59,2026-03-09 18:02:10,False,,,TrialSource,59,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-15_0-21.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},60,2026-03-09 18:02:10,False,,,TrialSource,60,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-18_0-23.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},61,2026-03-09 18:02:10,False,,,TrialSource,61,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-0_0-14.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},62,2026-03-09 18:02:10,False,,,TrialSource,62,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-3_0-8.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},63,2026-03-09 18:02:10,False,,,TrialSource,63,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-17_0-23.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},64,2026-03-09 18:02:10,False,,,TrialSource,64,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-4_0-23.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},65,2026-03-09 18:02:10,False,,,TrialSource,65,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-13_0-31.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},66,2026-03-09 18:02:10,False,,,TrialSource,66,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-13_0-25.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},67,2026-03-09 18:02:10,False,,,TrialSource,67,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-7_0-20.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},68,2026-03-09 18:02:10,False,,,TrialSource,68,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-1_0-25.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},69,2026-03-09 18:02:10,False,,,TrialSource,69,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-6_0-18.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},70,2026-03-09 18:02:10,False,,,TrialSource,70,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-4_0-8.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},71,2026-03-09 18:02:10,False,,,TrialSource,71,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-16_0-29.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},72,2026-03-09 18:02:10,False,,,TrialSource,72,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-10_0-12.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},73,2026-03-09 18:02:10,False,,,TrialSource,73,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-2_0-19.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},74,2026-03-09 18:02:10,False,,,TrialSource,74,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-1_0-15.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},75,2026-03-09 18:02:10,False,,,TrialSource,75,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-15_0-25.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},76,2026-03-09 18:02:10,False,,,TrialSource,76,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-20_0-35.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},77,2026-03-09 18:02:10,False,,,TrialSource,77,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-5_0-25.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},78,2026-03-09 18:02:10,False,,,TrialSource,78,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-16_0-24.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},79,2026-03-09 18:02:10,False,,,TrialSource,79,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-0_0-11.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},80,2026-03-09 18:02:10,False,,,TrialSource,80,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-13_0-23.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},81,2026-03-09 18:02:10,False,,,TrialSource,81,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-20_0-22.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},82,2026-03-09 18:02:10,False,,,TrialSource,82,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-23_0-27.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},83,2026-03-09 18:02:10,False,,,TrialSource,83,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-23_0-25.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},84,2026-03-09 18:02:10,False,,,TrialSource,84,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-3_0-27.mp4""}",,participant-group-1,block-a,False,13,StaticNode,Node
{},85,2026-03-09 18:02:10,False,,,TrialSource,85,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-1_0-13.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},86,2026-03-09 18:02:10,False,,,TrialSource,86,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-4_0-20.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
{},87,2026-03-09 18:02:10,False,,,TrialSource,87,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-25_0-26.mp4""}",,participant-group-1,block-a,False,12,StaticNode,Node
