parent,vars,id,creation_time,psynet_version,deployment_id,deposited,inherited,inherited_from,module_id,local_key,key_within_module,key_within_experiment,export_path,is_global,module_state_id,participant_id,trial_id,node_id,network_id,description,personal,content_id,host_path,url,is_folder,data_type,extension,storage,node_definition,type,input_path,obfuscate,md5_contents,size_mb,deposit_time_sec,used_cache,class,object_type,file_system_path
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 1}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_1__prompt/cf1e289cff67e50a800f97d39363bb45.webm""}",1,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_1__prompt,label_experiment/nodes/node_1__prompt,label_experiment/nodes/node_1__prompt.webm,,,,,1,1,,False,cf1e289cff67e50a800f97d39363bb45,cached/label_experiment/nodes/node_1__prompt/cf1e289cff67e50a800f97d39363bb45.webm,/static/assets/cached/label_experiment/nodes/node_1__prompt/cf1e289cff67e50a800f97d39363bb45.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-20.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-20.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_1__prompt/cf1e289cff67e50a800f97d39363bb45.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 2}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_2__prompt/d7a4458e8d1345a6853cbdfb73ec3709.webm""}",2,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_2__prompt,label_experiment/nodes/node_2__prompt,label_experiment/nodes/node_2__prompt.webm,,,,,2,2,,False,d7a4458e8d1345a6853cbdfb73ec3709,cached/label_experiment/nodes/node_2__prompt/d7a4458e8d1345a6853cbdfb73ec3709.webm,/static/assets/cached/label_experiment/nodes/node_2__prompt/d7a4458e8d1345a6853cbdfb73ec3709.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-12.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-12.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_2__prompt/d7a4458e8d1345a6853cbdfb73ec3709.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 3}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_3__prompt/d006d09e184494ab98c0829eae25c9e9.webm""}",3,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_3__prompt,label_experiment/nodes/node_3__prompt,label_experiment/nodes/node_3__prompt.webm,,,,,3,3,,False,d006d09e184494ab98c0829eae25c9e9,cached/label_experiment/nodes/node_3__prompt/d006d09e184494ab98c0829eae25c9e9.webm,/static/assets/cached/label_experiment/nodes/node_3__prompt/d006d09e184494ab98c0829eae25c9e9.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-5.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-5.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_3__prompt/d006d09e184494ab98c0829eae25c9e9.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 4}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_4__prompt/7a9bf7f34aab11e227b62fa7786416b1.webm""}",4,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_4__prompt,label_experiment/nodes/node_4__prompt,label_experiment/nodes/node_4__prompt.webm,,,,,4,4,,False,7a9bf7f34aab11e227b62fa7786416b1,cached/label_experiment/nodes/node_4__prompt/7a9bf7f34aab11e227b62fa7786416b1.webm,/static/assets/cached/label_experiment/nodes/node_4__prompt/7a9bf7f34aab11e227b62fa7786416b1.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-6.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-6.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_4__prompt/7a9bf7f34aab11e227b62fa7786416b1.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 5}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_5__prompt/21479e5625a6e65a6ed105216e3daf82.webm""}",5,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_5__prompt,label_experiment/nodes/node_5__prompt,label_experiment/nodes/node_5__prompt.webm,,,,,5,5,,False,21479e5625a6e65a6ed105216e3daf82,cached/label_experiment/nodes/node_5__prompt/21479e5625a6e65a6ed105216e3daf82.webm,/static/assets/cached/label_experiment/nodes/node_5__prompt/21479e5625a6e65a6ed105216e3daf82.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-31.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-31.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_5__prompt/21479e5625a6e65a6ed105216e3daf82.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 6}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_6__prompt/f4dea4f6d3b68d3b8bb90a7bda31f1ae.webm""}",6,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_6__prompt,label_experiment/nodes/node_6__prompt,label_experiment/nodes/node_6__prompt.webm,,,,,6,6,,False,f4dea4f6d3b68d3b8bb90a7bda31f1ae,cached/label_experiment/nodes/node_6__prompt/f4dea4f6d3b68d3b8bb90a7bda31f1ae.webm,/static/assets/cached/label_experiment/nodes/node_6__prompt/f4dea4f6d3b68d3b8bb90a7bda31f1ae.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-9.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-9.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_6__prompt/f4dea4f6d3b68d3b8bb90a7bda31f1ae.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 7}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_7__prompt/c9b55291995b27f345befc63f8e513f9.webm""}",7,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_7__prompt,label_experiment/nodes/node_7__prompt,label_experiment/nodes/node_7__prompt.webm,,,,,7,7,,False,c9b55291995b27f345befc63f8e513f9,cached/label_experiment/nodes/node_7__prompt/c9b55291995b27f345befc63f8e513f9.webm,/static/assets/cached/label_experiment/nodes/node_7__prompt/c9b55291995b27f345befc63f8e513f9.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-27.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-27.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_7__prompt/c9b55291995b27f345befc63f8e513f9.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 8}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_8__prompt/02c5479e5f9b4fa391587769df8eef56.webm""}",8,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_8__prompt,label_experiment/nodes/node_8__prompt,label_experiment/nodes/node_8__prompt.webm,,,,,8,8,,False,02c5479e5f9b4fa391587769df8eef56,cached/label_experiment/nodes/node_8__prompt/02c5479e5f9b4fa391587769df8eef56.webm,/static/assets/cached/label_experiment/nodes/node_8__prompt/02c5479e5f9b4fa391587769df8eef56.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-14.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-14.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_8__prompt/02c5479e5f9b4fa391587769df8eef56.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 9}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_9__prompt/aa0fcb174356911eeb5d14c713ccaa1c.webm""}",9,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_9__prompt,label_experiment/nodes/node_9__prompt,label_experiment/nodes/node_9__prompt.webm,,,,,9,9,,False,aa0fcb174356911eeb5d14c713ccaa1c,cached/label_experiment/nodes/node_9__prompt/aa0fcb174356911eeb5d14c713ccaa1c.webm,/static/assets/cached/label_experiment/nodes/node_9__prompt/aa0fcb174356911eeb5d14c713ccaa1c.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-13.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-13.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_9__prompt/aa0fcb174356911eeb5d14c713ccaa1c.webm
"{""py/object"": ""psynet.trial.static.StaticNode"", ""identifiers"": {""id"": 10}}","{""file_system_path"": ""/psynet-data/assets/cached/label_experiment/nodes/node_10__prompt/f3c09542f2b511848d8926e694a8c5e6.webm""}",10,2026-02-25 16:17:49,13.1.1,image-stimulus-set-from-directory-demo__mode=live__launch=2026-02-25--16-17-49,True,False,,label_experiment,prompt,nodes/node_10__prompt,label_experiment/nodes/node_10__prompt,label_experiment/nodes/node_10__prompt.webm,,,,,10,10,,False,f3c09542f2b511848d8926e694a8c5e6,cached/label_experiment/nodes/node_10__prompt/f3c09542f2b511848d8926e694a8c5e6.webm,/static/assets/cached/label_experiment/nodes/node_10__prompt/f3c09542f2b511848d8926e694a8c5e6.webm,False,,.webm,"{""py/object"": ""psynet.asset.LocalStorage"", ""_initialized"": false, ""_root"": null, ""root"": ""/psynet-data/assets""}","{""name"": ""0-19.webm""}",CachedAsset,input/experiment/participant-group-1/block-a/0-19.webm,1,,,,True,CachedAsset,Asset,/psynet-data/assets/cached/label_experiment/nodes/node_10__prompt/f3c09542f2b511848d8926e694a8c5e6.webm
