vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_created_trials,n_completed_trials,trial_maker_initialized,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class,object_type
{},2026-02-26 00:27:28,False,,,2,label_experiment,1,2026-02-26 00:27:28,2026-02-26 00:29:09,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[36, 7, 14, 27, 28, 26, 17, 15, 16, 34, 35, 21, 29, 8, 20, 32, 10, 31, 30, 33, 11, 4, 13, 6, 25, 18, 19, 12, 3, 2, 1, 22, 24, 5, 23, 9]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 00:45:41,False,,,5,label_experiment,2,2026-02-26 00:45:41,2026-02-26 00:52:24,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[4, 33, 23, 17, 8, 24, 12, 22, 1, 14, 7, 26, 3, 28, 29, 13, 10, 30, 32, 11, 35, 21, 5, 16, 6, 36, 25, 2, 9, 27, 31, 15, 19, 34, 20, 18]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 00:48:26,False,,,7,label_experiment,3,2026-02-26 00:48:26,2026-02-26 00:54:07,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[27, 36, 2, 34, 19, 15, 31, 18, 6, 20, 25, 9, 33, 5, 7, 29, 8, 3, 17, 4, 16, 22, 28, 10, 14, 12, 21, 11, 35, 30, 23, 26, 24, 32, 13, 1]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 01:08:56,False,,,11,label_experiment,4,2026-02-26 01:08:56,2026-02-26 01:11:41,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[34, 32, 31, 22, 9, 23, 27, 14, 24, 28, 1, 18, 7, 36, 19, 6, 4, 33, 29, 10, 26, 21, 5, 35, 2, 13, 17, 15, 30, 25, 16, 8, 3, 11, 20, 12]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 01:12:06,False,,,15,label_experiment,5,2026-02-26 01:12:06,2026-02-26 01:15:57,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[14, 3, 32, 29, 36, 10, 15, 26, 11, 21, 18, 12, 9, 6, 8, 13, 1, 17, 2, 34, 27, 20, 33, 35, 5, 19, 4, 22, 23, 24, 7, 25, 30, 31, 28, 16]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 01:17:49,False,,,17,label_experiment,6,2026-02-26 01:17:49,2026-02-26 01:22:16,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[10, 36, 8, 7, 11, 21, 13, 1, 32, 29, 25, 35, 19, 33, 18, 3, 16, 22, 28, 31, 27, 5, 14, 17, 30, 9, 6, 4, 2, 20, 26, 15, 23, 34, 12, 24]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 01:30:33,False,,,20,label_experiment,7,2026-02-26 01:30:33,2026-02-26 01:37:54,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[33, 25, 3, 20, 8, 18, 27, 23, 10, 9, 36, 5, 13, 34, 14, 2, 26, 24, 7, 1, 21, 11, 15, 30, 32, 4, 6, 28, 12, 35, 29, 31, 19, 16, 22, 17]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 01:52:15,False,,,23,label_experiment,8,2026-02-26 01:52:15,2026-02-26 01:58:05,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[14, 33, 30, 17, 28, 6, 36, 13, 10, 29, 27, 2, 3, 24, 8, 12, 9, 22, 16, 21, 11, 32, 34, 23, 31, 5, 20, 15, 1, 7, 19, 4, 35, 25, 26, 18]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 01:53:38,False,,,25,label_experiment,9,2026-02-26 01:53:38,2026-02-26 02:02:38,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[1, 19, 18, 35, 5, 26, 20, 4, 7, 15, 25, 17, 11, 2, 27, 12, 14, 36, 8, 3, 10, 6, 13, 31, 24, 33, 28, 30, 34, 16, 32, 23, 22, 29, 21, 9]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 02:24:19,False,,,29,label_experiment,10,2026-02-26 02:24:19,2026-02-26 02:30:09,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[17, 33, 20, 12, 14, 7, 26, 29, 13, 15, 11, 1, 19, 36, 31, 35, 10, 4, 23, 8, 28, 9, 32, 2, 30, 22, 5, 18, 25, 24, 34, 3, 21, 6, 16, 27]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 03:01:45,False,,,32,label_experiment,11,2026-02-26 03:01:45,2026-02-26 03:07:05,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[18, 26, 5, 32, 29, 15, 8, 11, 30, 6, 34, 25, 17, 7, 35, 33, 12, 3, 16, 31, 28, 20, 13, 14, 2, 27, 19, 21, 22, 10, 9, 1, 36, 4, 24, 23]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 03:28:33,False,,,35,label_experiment,12,2026-02-26 03:28:33,2026-02-26 03:45:04,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[14, 29, 34, 15, 19, 20, 24, 6, 2, 30, 9, 1, 3, 8, 25, 5, 27, 4, 33, 26, 35, 16, 18, 28, 32, 10, 11, 7, 22, 13, 21, 23, 12, 36, 31, 17]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 03:41:00,False,,,37,label_experiment,13,2026-02-26 03:41:00,2026-02-26 03:44:04,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[21, 36, 12, 13, 23, 30, 31, 17, 26, 5, 27, 1, 29, 32, 14, 3, 15, 25, 8, 22, 10, 33, 24, 6, 4, 28, 2, 16, 7, 20, 9, 19, 18, 34, 35, 11]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 04:02:11,False,,,41,label_experiment,14,2026-02-26 04:02:11,2026-02-26 04:07:52,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[30, 14, 16, 22, 23, 2, 31, 9, 32, 12, 10, 21, 3, 19, 34, 24, 6, 26, 11, 29, 13, 27, 5, 4, 35, 25, 33, 1, 15, 17, 36, 20, 18, 7, 28, 8]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 04:50:18,False,,,44,label_experiment,15,2026-02-26 04:50:18,2026-02-26 04:57:11,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[30, 24, 29, 1, 22, 7, 11, 18, 34, 5, 31, 25, 19, 33, 26, 12, 15, 16, 3, 35, 36, 27, 21, 4, 9, 17, 14, 28, 23, 32, 10, 6, 13, 8, 2, 20]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 04:55:04,False,,,48,label_experiment,18,2026-02-26 04:55:04,2026-02-26 05:02:20,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[8, 6, 20, 32, 13, 10, 2, 30, 18, 4, 7, 27, 15, 28, 35, 21, 5, 34, 14, 12, 1, 33, 31, 3, 23, 17, 11, 26, 36, 25, 16, 24, 9, 29, 19, 22]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 04:56:46,False,,,51,label_experiment,19,2026-02-26 04:56:46,2026-02-26 05:01:35,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[1, 9, 16, 24, 36, 22, 25, 31, 26, 19, 7, 34, 5, 6, 18, 27, 4, 30, 15, 14, 12, 13, 28, 8, 32, 21, 23, 29, 17, 33, 10, 35, 3, 20, 11, 2]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 04:57:06,False,,,52,label_experiment,20,2026-02-26 04:57:06,2026-02-26 05:03:20,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[33, 30, 32, 2, 10, 29, 11, 6, 19, 20, 3, 9, 35, 24, 22, 21, 34, 8, 26, 36, 25, 12, 14, 18, 4, 23, 5, 31, 17, 28, 16, 13, 1, 27, 15, 7]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 04:57:26,False,,,54,label_experiment,17,2026-02-26 04:57:26,2026-02-26 05:00:35,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[17, 23, 11, 29, 19, 3, 8, 36, 14, 16, 20, 13, 9, 12, 26, 22, 25, 21, 24, 35, 28, 7, 30, 15, 2, 33, 4, 10, 31, 1, 27, 5, 34, 18, 6, 32]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 17:28:06,False,,,61,label_experiment,22,2026-02-26 17:28:06,2026-02-26 17:31:47,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[30, 29, 28, 7, 36, 8, 22, 2, 4, 19, 26, 6, 16, 1, 9, 13, 18, 20, 14, 35, 3, 25, 34, 33, 24, 21, 17, 32, 5, 11, 12, 31, 15, 10, 27, 23]",36,36,ChainTrialMakerState,ModuleState
{},2026-02-26 17:28:30,False,,,63,label_experiment,21,2026-02-26 17:28:30,2026-02-26 17:30:51,,True,True,False,ChainTrialMakerState,participant-group-1,False,,,,36,36,True,"[""block-a""]",0,block-a,"[27, 30, 33, 34, 5, 11, 17, 24, 21, 10, 20, 31, 35, 18, 14, 3, 32, 25, 2, 36, 15, 28, 29, 1, 12, 19, 23, 8, 7, 22, 6, 26, 4, 13, 9, 16]",36,36,ChainTrialMakerState,ModuleState
