vars,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,elt_id,elt_id_max,time_credit,estimated_max_time_credit,progress,time_credit_fixes,progress_fixes,page_uuid,page_count,aborted,complete,answer,answer_accumulators,sequences,branch_log,for_loops,failure_tags,base_payment,performance_reward,unpaid_bonus,total_wait_page_time,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,awaited_async_code_block_process_id,class,object_type,aborted_modules,started_modules,finished_modules,module_id,mit_consent,sex,languages_in_order_of_proficiency,liked_experiment,find_experiment_difficult,encountered_technical_problems
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T00:29:09.011979"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T00:27:28.550122"", ""sex"": ""male"", ""languages_in_order_of_proficiency"": ""Finnish, always finnish, FINNISH!!!!!!!!!!!!!!!!!!!!"", ""liked_experiment"": ""yes always - they rock"", ""find_experiment_difficult"": ""no"", ""encountered_technical_problems"": ""no - all debugged hopefully!""}",1,2026-02-26 00:27:15,False,,,Participant,dd34f5959ee63b8cefc12fb061d71c95,prolific,04rxme38n7b9,5c6eec2e673d7600016e5325:04rxme38n7b9,699f9178c0a64a38138a36ca,live,2026-02-26 00:29:46,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",a07c22a6-78fc-9bc9-ae62-67e5ad7e0828,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 139.0.0.0 on Linux 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,male,"Finnish, always finnish, FINNISH!!!!!!!!!!!!!!!!!!!!",yes always - they rock,no,no - all debugged hopefully!
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T00:52:24.742594"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T00:45:41.908111"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""Yes, it was interesting but a bit repetitive."", ""find_experiment_difficult"": ""No, not at all."", ""encountered_technical_problems"": ""No, no problems.""}",2,2026-02-26 00:44:29,False,,,Participant,5545037290ec9a9bf8462a92e034341c,prolific,699f960c01bf1c41bcf62dd2,67ed97431e3dbd7416f76f7d:699f960c01bf1c41bcf62dd2,699f9178c0a64a38138a36ca,live,2026-02-26 00:55:02,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",96c91914-61c0-dd56-2468-396c166e5e35,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,female,English,"Yes, it was interesting but a bit repetitive.","No, not at all.","No, no problems."
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T00:54:07.333887"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T00:48:26.731673"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""yes"", ""find_experiment_difficult"": ""no"", ""encountered_technical_problems"": ""no""}",3,2026-02-26 00:47:00,False,,,Participant,6bf947478ce6b585d74a8fe253fdde8b,prolific,699f9631ca726eb7a329e30c,662bf98a6f25e5ccdce46ebc:699f9631ca726eb7a329e30c,699f9178c0a64a38138a36ca,live,2026-02-26 00:54:39,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",656e3a3d-6af0-fc2d-acfb-54a7dfaa534e,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,female,English,yes,no,no
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T01:11:41.609299"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T01:08:56.238906"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""Yes"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No""}",4,2026-02-26 01:08:25,False,,,Participant,76983038e28514dad34d31ee699679b3,prolific,699f9cf0711589386528f486,699f6aab88622c6dcaa6200b:699f9cf0711589386528f486,699f9178c0a64a38138a36ca,live,2026-02-26 01:12:02,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",7c8f3c51-381b-a009-e1f7-375c9a112910,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 144.0.0.0 on OS X 10.15.7 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,female,English,Yes,No,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T01:15:57.418021"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T01:12:07.020626"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English, spanish"", ""liked_experiment"": ""Yes, its fun and different"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No issues""}",5,2026-02-26 01:09:15,False,,,Participant,d66483eaf2f5003939c9541f992b33ff,prolific,699f9cefed06d7f332e3e160,6691809035e52ca9b2b0f39a:699f9cefed06d7f332e3e160,699f9178c0a64a38138a36ca,live,2026-02-26 01:17:08,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",fef6790f-4e1d-528e-68a5-0edda77ca5df,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,female,"English, spanish","Yes, its fun and different",No,No issues
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T01:22:16.699877"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T01:17:49.570148"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""Yes"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No""}",6,2026-02-26 01:10:55,False,,,Participant,b9b611b3e438f4e3c51cc8efddbd198a,prolific,699f9b72ebf74a42b8f4016e,66205dd1c80876a4b5f05567:699f9b72ebf74a42b8f4016e,699f9178c0a64a38138a36ca,live,2026-02-26 01:23:03,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",adb7ae15-50e9-17a0-4b24-1265ab31e6f0,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 144.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,female,English,Yes,No,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T01:37:54.980324"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T01:30:33.290426"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""Yes"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""No""}",7,2026-02-26 01:28:10,False,,,Participant,940399bca6ea63a6c808947e1d78ffc1,prolific,699fa18a06172fca52e1a696,62b9c2f1e55fe9f17dfedc5d:699fa18a06172fca52e1a696,699f9178c0a64a38138a36ca,live,2026-02-26 01:38:57,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",7e28201a-d3a0-7179-d4d2-b81bdae25f08,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 144.0.0.0 on OS X 10.15.7 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,female,English,Yes,No,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T01:58:05.842741"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T01:52:15.793198"", ""sex"": ""male"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""yes"", ""find_experiment_difficult"": ""no"", ""encountered_technical_problems"": ""no""}",8,2026-02-26 01:51:36,False,,,Participant,568f5145022ba19aca8ee165c64a7c40,prolific,699fa70bbc7c6bf4232422eb,664000a773659900df146677:699fa70bbc7c6bf4232422eb,699f9178c0a64a38138a36ca,live,2026-02-26 01:58:40,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",9c251cd6-d7ec-0d99-3dd4-6d9c25092810,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 109.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,male,English,yes,no,no
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T02:02:38.387300"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T01:53:38.586188"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""yes"", ""find_experiment_difficult"": ""yes"", ""encountered_technical_problems"": ""No""}",9,2026-02-26 01:53:02,False,,,Participant,452ff1ff719ec2de7d71dd25030f82bc,prolific,699fa76b35a967b56affb30f,60fd588771ae861f9244f93d:699fa76b35a967b56affb30f,699f9178c0a64a38138a36ca,live,2026-02-26 02:03:22,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",6d1693ff-f149-532c-dc2f-ad9df263677e,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 145.0.0.0 on Windows 10 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,female,English,yes,yes,No
"{""mit_consent"": true, ""__Waiting for trial__loop_start_time__loop_start_time"": ""2026-02-26T02:30:09.443342"", ""__label_experiment__trial_loop__loop_start_time__loop_start_time"": ""2026-02-26T02:24:19.963794"", ""sex"": ""female"", ""languages_in_order_of_proficiency"": ""English"", ""liked_experiment"": ""Yes"", ""find_experiment_difficult"": ""No"", ""encountered_technical_problems"": ""no""}",10,2026-02-26 02:23:37,False,,,Participant,2ea1bd6d1626f972b80d8c6def03b11e,prolific,699fadf9aefa05e020b5a10a,67722f8e3a4f08a288a1f640:699fadf9aefa05e020b5a10a,699f9178c0a64a38138a36ca,live,2026-02-26 02:30:37,1.25,,"{""recruiter"": ""prolific""}",approved,"[183, 4, 1]","[187, 5, 2]",451.5,451.5,1.0,[],"[1.0, 1.0]",eabc70a1-46cc-1b94-1dec-8e68fe383e43,46,False,True,Finish,[],[],"[[""mit_consent_conditional"", false], [""init_participant"", false]]",{},[],1.25,0.0,0.0,0.0,True,Chrome 144.0.0.0 on Chrome OS 64-bit,,,exit,,Participant,Participant,[],"[""mit_consent"", ""label_experiment"", ""feedback""]","[""mit_consent"", ""label_experiment"", ""feedback""]",,True,female,English,Yes,No,no
