vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},1,2026-02-25 16:17:49,False,,,TrialSource,1,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-20.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},2,2026-02-25 16:17:49,False,,,TrialSource,2,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-12.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},3,2026-02-25 16:17:49,False,,,TrialSource,3,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-5.webm""}",,participant-group-1,block-a,False,67,StaticNode,Node
{},4,2026-02-25 16:17:49,False,,,TrialSource,4,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-6.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},5,2026-02-25 16:17:49,False,,,TrialSource,5,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-31.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},6,2026-02-25 16:17:49,False,,,TrialSource,6,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-9.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},7,2026-02-25 16:17:49,False,,,TrialSource,7,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-27.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},8,2026-02-25 16:17:49,False,,,TrialSource,8,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-14.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},9,2026-02-25 16:17:49,False,,,TrialSource,9,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-13.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},10,2026-02-25 16:17:49,False,,,TrialSource,10,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-19.webm""}",,participant-group-1,block-a,False,66,StaticNode,Node
{},11,2026-02-25 16:17:49,False,,,TrialSource,11,,label_experiment,label_experiment,,,True,False,False,False,False,,0,1000000,False,,,{},"{""name"": ""0-1.webm""}",,participant-group-1,block-a,False,67,StaticNode,Node
