vars,creation_time,failed,failed_reason,time_of_death,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,class,object_type
{},2026-02-26 00:27:15,False,,,1,mit_consent,1,2026-02-26 00:27:15,2026-02-26 00:27:21,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 00:29:23,False,,,3,feedback,1,2026-02-26 00:29:23,2026-02-26 00:29:43,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 00:44:29,False,,,4,mit_consent,2,2026-02-26 00:44:29,2026-02-26 00:44:55,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 00:47:00,False,,,6,mit_consent,3,2026-02-26 00:47:00,2026-02-26 00:48:01,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 00:52:45,False,,,8,feedback,2,2026-02-26 00:52:45,2026-02-26 00:54:58,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 00:54:19,False,,,9,feedback,3,2026-02-26 00:54:19,2026-02-26 00:54:34,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:08:25,False,,,10,mit_consent,4,2026-02-26 01:08:25,2026-02-26 01:08:38,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:09:15,False,,,12,mit_consent,5,2026-02-26 01:09:15,2026-02-26 01:11:11,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:10:55,False,,,13,mit_consent,6,2026-02-26 01:10:55,2026-02-26 01:15:25,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:11:50,False,,,14,feedback,4,2026-02-26 01:11:50,2026-02-26 01:12:00,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:16:17,False,,,16,feedback,5,2026-02-26 01:16:17,2026-02-26 01:17:04,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:22:29,False,,,18,feedback,6,2026-02-26 01:22:29,2026-02-26 01:22:57,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:28:10,False,,,19,mit_consent,7,2026-02-26 01:28:10,2026-02-26 01:28:53,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:38:15,False,,,21,feedback,7,2026-02-26 01:38:15,2026-02-26 01:38:55,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:51:36,False,,,22,mit_consent,8,2026-02-26 01:51:36,2026-02-26 01:51:48,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:53:02,False,,,24,mit_consent,9,2026-02-26 01:53:02,2026-02-26 01:53:16,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 01:58:19,False,,,26,feedback,8,2026-02-26 01:58:19,2026-02-26 01:58:37,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 02:02:56,False,,,27,feedback,9,2026-02-26 02:02:56,2026-02-26 02:03:18,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 02:23:37,False,,,28,mit_consent,10,2026-02-26 02:23:37,2026-02-26 02:23:42,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 02:30:20,False,,,30,feedback,10,2026-02-26 02:30:20,2026-02-26 02:30:33,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 03:00:58,False,,,31,mit_consent,11,2026-02-26 03:00:58,2026-02-26 03:01:12,,True,True,False,ModuleState,ModuleState,ModuleState
{},2026-02-26 03:07:19,False,,,33,feedback,11,2026-02-26 03:07:19,2026-02-26 03:07:36,,True,True,False,ModuleState,ModuleState,ModuleState
