vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},1,2026-02-26 00:27:21,False,,,Response,1,untitled,"{""mit_consent"": true}",MITConsentPage,True,135.180.25.175,"{""time_taken"": 3.335, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:18.068Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:18.077Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:18.077Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:18.081Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:18.081Z"", ""info"": null}], ""comments"": []}",Response,_Response
{},2,2026-02-26 00:27:25,False,,,Response,1,Video labelling instructions,,ModularPage,True,135.180.25.175,"{""time_taken"": 3.726, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:22.166Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:23.192Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:23.192Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-02-26T00:27:23.192Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:23.195Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:23.195Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Hello! In this experiment you will see a moving figure just like the one below. Your task is simply to complete the sentence ending with a blank, which will be directly above the moving figure. Below is a screen capture of a typical trial. You will be able to enter your response in a text field like the one illustrated here:"", ""url"": ""/static/instruction_motivo_en.webm"", ""play_window"": [0.0, null], ""mirrored"": false}, ""control"": {}}",Response,_Response
{},3,2026-02-26 00:27:28,False,,,Response,1,info,,InfoPage,True,135.180.25.175,"{""time_taken"": 1.668, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:26.781Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:26.783Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:26.783Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:26.787Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:26.787Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""We are ready to begin! Remember, please only use a SINGLE WORD.""}, ""control"": {}}",Response,_Response
{},4,2026-02-26 00:27:33,False,,,Response,1,question_page,run,ModularPage,True,135.180.25.175,"{""time_taken"": 4.615, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:29.230Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:29.484Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:29.484Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-02-26T00:27:29.485Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:29.485Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:29.486Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Please complete the following sentence with a SINGLE WORD: 'What is the figure doing? the figure is _____' "", ""url"": ""/static/assets/cached/label_experiment/nodes/node_36__prompt/3871634d52171ca0028c309037ba2dc7.webm"", ""play_window"": [0.0, null], ""mirrored"": false}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": true}}",Response,_Response
{},5,2026-02-26 00:27:37,False,,,Response,1,question_page,walk,ModularPage,True,135.180.25.175,"{""time_taken"": 2.732, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:34.713Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:34.966Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:34.967Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-02-26T00:27:34.967Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:34.967Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:34.968Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Please complete the following sentence with a SINGLE WORD: 'What is the figure doing? the figure is _____' "", ""url"": ""/static/assets/cached/label_experiment/nodes/node_7__prompt/c9b55291995b27f345befc63f8e513f9.webm"", ""play_window"": [0.0, null], ""mirrored"": false}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": true}}",Response,_Response
{},6,2026-02-26 00:27:40,False,,,Response,1,question_page,wlk,ModularPage,True,135.180.25.175,"{""time_taken"": 1.997, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:38.179Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:38.437Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:38.437Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-02-26T00:27:38.438Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:38.438Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:38.439Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Please complete the following sentence with a SINGLE WORD: 'What is the figure doing? the figure is _____' "", ""url"": ""/static/assets/cached/label_experiment/nodes/node_14__prompt/0dd95d3b7d65623f5b8ad7af5dfb2972.webm"", ""play_window"": [0.0, null], ""mirrored"": false}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": true}}",Response,_Response
{},7,2026-02-26 00:27:43,False,,,Response,1,question_page,walk,ModularPage,True,135.180.25.175,"{""time_taken"": 2.077, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:40.974Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:41.223Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:41.223Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-02-26T00:27:41.223Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:41.223Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:41.224Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Please complete the following sentence with a SINGLE WORD: 'What is the figure doing? the figure is _____' "", ""url"": ""/static/assets/cached/label_experiment/nodes/node_27__prompt/fbf6f6f85111d8dd1c1022312126f032.webm"", ""play_window"": [0.0, null], ""mirrored"": false}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": true}}",Response,_Response
{},8,2026-02-26 00:27:45,False,,,Response,1,question_page,run,ModularPage,True,135.180.25.175,"{""time_taken"": 2.01, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:43.787Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:44.044Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:44.045Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-02-26T00:27:44.045Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:44.045Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:44.046Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Please complete the following sentence with a SINGLE WORD: 'What is the figure doing? the figure is _____' "", ""url"": ""/static/assets/cached/label_experiment/nodes/node_28__prompt/0ae423eb1cf55e86e1afdf7cdd617a54.webm"", ""play_window"": [0.0, null], ""mirrored"": false}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": true}}",Response,_Response
{},9,2026-02-26 00:27:48,False,,,Response,1,question_page,walk,ModularPage,True,135.180.25.175,"{""time_taken"": 2.231, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:46.599Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:46.852Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:46.852Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-02-26T00:27:46.852Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:46.852Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:46.853Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Please complete the following sentence with a SINGLE WORD: 'What is the figure doing? the figure is _____' "", ""url"": ""/static/assets/cached/label_experiment/nodes/node_26__prompt/f453aa35d539071cf2025fe49156347f.webm"", ""play_window"": [0.0, null], ""mirrored"": false}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": true}}",Response,_Response
{},10,2026-02-26 00:27:51,False,,,Response,1,question_page,walk,ModularPage,True,135.180.25.175,"{""time_taken"": 1.951, ""platform"": ""Chrome 139.0.0.0 on Linux 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-02-26T00:27:49.585Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-02-26T00:27:49.836Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-02-26T00:27:49.836Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2026-02-26T00:27:49.837Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-02-26T00:27:49.837Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-02-26T00:27:49.838Z"", ""info"": null}], ""comments"": [], ""prompt"": {""text"": ""Please complete the following sentence with a SINGLE WORD: 'What is the figure doing? the figure is _____' "", ""url"": ""/static/assets/cached/label_experiment/nodes/node_17__prompt/dc8cf7442872f6d5ec3f822eb2676f7e.webm"", ""play_window"": [0.0, null], ""mirrored"": false}, ""control"": {""one_line"": true, ""width"": null, ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": true}}",Response,_Response
